account_name,account_size,current_owner,estimated_annual_value,customer_status,city,state,zip_code,latitude,longitude,region
Nascent Tech,Small,Rep_6,12000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Budding Innovations,Small,Rep_6,19000,Prospect,Detroit,MI,48201,42.3314,-83.0458,Midwest
Fledgling Corp,Small,Rep_6,16000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Growing Solutions,Small,Rep_6,14000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
Developing Tech,Small,Rep_6,18000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Advancing Systems,Small,Rep_6,15000,Prospect,Phoenix,AZ,85004,33.4484,-112.074,Mountain
Progressing Innovations,Small,Rep_6,17000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Rising Tech,Small,Rep_6,13000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Ascending Solutions,Small,Rep_6,16000,Customer,San Diego,CA,92101,32.7157,-117.1611,West
Climbing Systems,Small,Rep_6,19000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Improving Tech,Small,Rep_6,14000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West
Enhancing Solutions,Small,Rep_6,15000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest
Upgrading Corp,Small,Rep_6,18000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Boosting Systems,Small,Rep_6,16000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain
Elevating Tech,Small,Rep_6,12000,Customer,Dallas,TX,75201,32.7767,-96.797,South
Lifting Solutions,Small,Rep_6,17000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South
Raising Innovations,Small,Rep_6,14000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Heightening Systems,Small,Rep_6,19000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
Amplifying Tech,Small,Rep_6,15000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Magnifying Solutions,Small,Rep_6,16000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Expanding Corp,Small,Rep_6,13000,Prospect,Cleveland,OH,44101,41.4993,-81.6944,Midwest
Broadening Systems,Small,Rep_6,18000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Widening Tech,Small,Rep_6,14000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Stretching Solutions,Small,Rep_6,17000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Extending Innovations,Small,Rep_6,15000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Lengthening Corp,Small,Rep_6,12000,Prospect,Portland,OR,97201,45.5152,-122.6784,West
Prolonging Systems,Small,Rep_6,19000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
Perpetuating Tech,Small,Rep_6,16000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
MidRange Technologies,Medium,Rep_7,105000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Moderate Systems,Medium,Rep_7,98000,Prospect,Atlanta,GA,30303,33.749,-84.388,South
Average Solutions,Medium,Rep_7,110000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast
Balanced Tech,Medium,Rep_7,95000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Central Innovations,Medium,Rep_7,102000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Middle Corp,Medium,Rep_7,108000,Prospect,Houston,TX,77002,29.7604,-95.3698,South
Intermediate Systems,Medium,Rep_7,99000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Standard Solutions,Medium,Rep_7,106000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain
Regular Tech,Medium,Rep_7,97000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Typical Innovations,Medium,Rep_7,103000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast
Normal Corp,Medium,Rep_7,109000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Conventional Systems,Medium,Rep_7,96000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Traditional Solutions,Medium,Rep_7,104000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Ordinary Tech,Medium,Rep_7,100000,Prospect,Cleveland,OH,44101,41.4993,-81.6944,Midwest
Common Innovations,Medium,Rep_7,107000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Usual Systems,Medium,Rep_7,98000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Customary Solutions,Medium,Rep_7,105000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Routine Tech,Medium,Rep_7,101000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest
Established Corp,Medium,Rep_7,110000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Settled Systems,Medium,Rep_7,94000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Fixed Solutions,Medium,Rep_7,102000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Stable Tech,Medium,Rep_7,108000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Steady Innovations,Medium,Rep_7,96000,Prospect,Austin,TX,78701,30.2672,-97.7431,South
Constant Corp,Medium,Rep_7,104000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Consistent Systems,Medium,Rep_7,99000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
Reliable Solutions,Medium,Rep_7,106000,Customer,San Diego,CA,92101,32.7157,-117.1611,West
Dependable Tech,Medium,Rep_7,97000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain
Trustworthy Innovations,Medium,Rep_7,103000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South
Faithful Corp,Medium,Rep_7,109000,Customer,Dallas,TX,75201,32.7767,-96.797,South
Loyal Systems,Medium,Rep_7,95000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Budget Tech Solutions,Small,Rep_8,11000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Economy Systems,Small,Rep_8,10000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast
Discount Innovations,Small,Rep_8,13000,Customer,Baltimore,MD,21201,39.2904,-76.6122,Northeast
Thrift Tech Corp,Small,Rep_8,12000,Customer,Charlotte,NC,28202,35.2271,-80.8431,South
Value Solutions Ltd,Small,Rep_8,14000,Customer,San Jose,CA,95113,37.3382,-121.8863,West
Bargain Systems,Small,Rep_8,10000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West
Affordable Tech,Small,Rep_8,15000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Economical Solutions,Small,Rep_8,11000,Customer,Houston,TX,77002,29.7604,-95.3698,South
Frugal Innovations,Small,Rep_8,12000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Prudent Systems,Small,Rep_8,13000,Prospect,Seattle,WA,98101,47.6062,-122.3321,West
Sensible Tech,Small,Rep_8,14000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Practical Solutions,Small,Rep_8,10000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast
Reasonable Corp,Small,Rep_8,15000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
Rational Systems,Small,Rep_8,11000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South
Logical Tech,Small,Rep_8,12000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Sound Solutions,Small,Rep_8,13000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest
Smart Innovations,Small,Rep_8,14000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Wise Systems,Small,Rep_8,10000,Prospect,Boston,MA,02101,42.3601,-71.0589,Northeast
Clever Tech,Small,Rep_8,15000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Bright Solutions,Small,Rep_8,11000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Sharp Corp,Small,Rep_8,12000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Keen Systems,Small,Rep_8,13000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Alert Tech,Small,Rep_8,14000,Prospect,San Jose,CA,95113,37.3382,-121.8863,West
Aware Solutions,Small,Rep_8,10000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
Conscious Innovations,Small,Rep_8,15000,Customer,Miami,FL,33131,25.7617,-80.1918,South
