account_name,account_size,current_owner,estimated_annual_value,customer_status
Acclaimed Tech,Large,Rep_5,300000,Customer
Celebrated Innovations,Large,Rep_5,315000,Customer
Micro Solutions Ltd,Small,Rep_6,16000,Customer
Tiny Tech Corp,Small,Rep_6,14000,Prospect
Mini Innovations,Small,Rep_6,19000,Customer
Petite Systems,Small,Rep_6,15000,Customer
Little Tech Co,Small,Rep_6,17000,Customer
Modest Solutions,Small,Rep_6,13000,Prospect
Humble Tech,Small,Rep_6,18000,Customer
Minor Systems,Small,Rep_6,16000,Customer
Lesser Innovations,Small,Rep_6,14000,Customer
Junior Tech,Small,Rep_6,20000,Prospect
Startup Solutions,Small,Rep_6,15000,Customer
Emerging Systems,Small,Rep_6,17000,Customer
Nascent Tech,Small,Rep_6,12000,Customer
Budding Innovations,Small,Rep_6,19000,Prospect
Fledgling Corp,Small,Rep_6,16000,Customer
Growing Solutions,Small,Rep_6,14000,Customer
Developing Tech,Small,Rep_6,18000,Customer
Advancing Systems,Small,Rep_6,15000,Prospect
Progressing Innovations,Small,Rep_6,17000,Customer
Rising Tech,Small,Rep_6,13000,Customer
Ascending Solutions,Small,Rep_6,16000,Customer
Climbing Systems,Small,Rep_6,19000,Customer
Improving Tech,Small,Rep_6,14000,Prospect
Enhancing Solutions,Small,Rep_6,15000,Customer
Upgrading Corp,Small,Rep_6,18000,Customer
Boosting Systems,Small,Rep_6,16000,Customer
Elevating Tech,Small,Rep_6,12000,Customer
Lifting Solutions,Small,Rep_6,17000,Prospect
Raising Innovations,Small,Rep_6,14000,Customer
Heightening Systems,Small,Rep_6,19000,Customer
Amplifying Tech,Small,Rep_6,15000,Customer
Magnifying Solutions,Small,Rep_6,16000,Customer
Expanding Corp,Small,Rep_6,13000,Prospect
Broadening Systems,Small,Rep_6,18000,Customer
Widening Tech,Small,Rep_6,14000,Customer
Stretching Solutions,Small,Rep_6,17000,Customer
Extending Innovations,Small,Rep_6,15000,Customer
Lengthening Corp,Small,Rep_6,12000,Prospect
Prolonging Systems,Small,Rep_6,19000,Customer
Perpetuating Tech,Small,Rep_6,16000,Customer
MidRange Technologies,Medium,Rep_7,105000,Customer
Moderate Systems,Medium,Rep_7,98000,Prospect
Average Solutions,Medium,Rep_7,110000,Customer
Balanced Tech,Medium,Rep_7,95000,Customer
Central Innovations,Medium,Rep_7,102000,Customer
Middle Corp,Medium,Rep_7,108000,Prospect
Intermediate Systems,Medium,Rep_7,99000,Customer
Standard Solutions,Medium,Rep_7,106000,Customer
Regular Tech,Medium,Rep_7,97000,Customer
Typical Innovations,Medium,Rep_7,103000,Prospect
Normal Corp,Medium,Rep_7,109000,Customer
Conventional Systems,Medium,Rep_7,96000,Customer
Traditional Solutions,Medium,Rep_7,104000,Customer
Ordinary Tech,Medium,Rep_7,100000,Prospect
Common Innovations,Medium,Rep_7,107000,Customer
Usual Systems,Medium,Rep_7,98000,Customer
Customary Solutions,Medium,Rep_7,105000,Customer
Routine Tech,Medium,Rep_7,101000,Prospect
Established Corp,Medium,Rep_7,110000,Customer
Settled Systems,Medium,Rep_7,94000,Customer
Fixed Solutions,Medium,Rep_7,102000,Customer
Stable Tech,Medium,Rep_7,108000,Customer
Steady Innovations,Medium,Rep_7,96000,Prospect
Constant Corp,Medium,Rep_7,104000,Customer
Consistent Systems,Medium,Rep_7,99000,Customer
Reliable Solutions,Medium,Rep_7,106000,Customer
Dependable Tech,Medium,Rep_7,97000,Customer
Trustworthy Innovations,Medium,Rep_7,103000,Prospect
Faithful Corp,Medium,Rep_7,109000,Customer
Loyal Systems,Medium,Rep_7,95000,Customer
Budget Tech Solutions,Small,Rep_8,11000,Customer
Economy Systems,Small,Rep_8,10000,Prospect
Discount Innovations,Small,Rep_8,13000,Customer
Thrift Tech Corp,Small,Rep_8,12000,Customer
Value Solutions Ltd,Small,Rep_8,14000,Customer
Bargain Systems,Small,Rep_8,10000,Prospect
Affordable Tech,Small,Rep_8,15000,Customer
Economical Solutions,Small,Rep_8,11000,Customer
Frugal Innovations,Small,Rep_8,12000,Customer
Prudent Systems,Small,Rep_8,13000,Prospect
Sensible Tech,Small,Rep_8,14000,Customer
Practical Solutions,Small,Rep_8,10000,Customer
Reasonable Corp,Small,Rep_8,15000,Customer
Rational Systems,Small,Rep_8,11000,Prospect
Logical Tech,Small,Rep_8,12000,Customer
Sound Solutions,Small,Rep_8,13000,Customer
Smart Innovations,Small,Rep_8,14000,Customer
Wise Systems,Small,Rep_8,10000,Prospect
Clever Tech,Small,Rep_8,15000,Customer
Bright Solutions,Small,Rep_8,11000,Customer
Sharp Corp,Small,Rep_8,12000,Customer
Keen Systems,Small,Rep_8,13000,Customer
Alert Tech,Small,Rep_8,14000,Prospect
Aware Solutions,Small,Rep_8,10000,Customer
Conscious Innovations,Small,Rep_8,15000,Customer
