account_name,account_size,current_owner,estimated_annual_value,customer_status,city,state,zip_code,latitude,longitude,region,new_owner
Matrix Industries,Large,Rep_2,295000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_2
Fusion Technologies,Enterprise,Rep_2,475000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_5
Prism Systems,Large,Rep_2,310000,Prospect,San Diego,CA,92101,32.7157,-117.1611,West,Rep_5
Catalyst Corp,Enterprise,Rep_2,450000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_2
Momentum Tech,Large,Rep_2,280000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_2
Velocity Solutions,Enterprise,Rep_2,490000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Paradigm Group,Large,Rep_2,305000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Synergy Innovations,Enterprise,Rep_2,460000,Prospect,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Convergence Systems,Large,Rep_2,290000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Evolution Tech,Enterprise,Rep_2,470000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_2
Brilliant Solutions,Medium,Rep_3,85000,Customer,Baltimore,MD,21201,39.2904,-76.6122,Northeast,Rep_6
Dynamic Ventures,Medium,Rep_3,92000,Prospect,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_2
Spectrum Analytics,Medium,Rep_3,78000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Meridian Tech,Medium,Rep_3,88000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_6
Crest Systems,Medium,Rep_3,95000,Customer,Miami,FL,33131,25.7617,-80.1918,South,Rep_4
Frontier Solutions,Medium,Rep_3,82000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_5
Pioneer Industries,Medium,Rep_3,90000,Customer,San Diego,CA,92101,32.7157,-117.1611,West,Rep_3
Horizon Ventures,Medium,Rep_3,76000,Customer,Columbus,OH,43215,39.9612,-82.9988,Midwest,Rep_7
Compass Tech,Medium,Rep_3,94000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Beacon Systems,Medium,Rep_3,80000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_5
Gateway Solutions,Medium,Rep_3,87000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_3
Bridge Technologies,Medium,Rep_3,91000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Portal Innovations,Medium,Rep_3,79000,Customer,Nashville,TN,37201,36.1627,-86.7816,South,Rep_4
Pathway Corp,Medium,Rep_3,86000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Navigator Systems,Medium,Rep_3,93000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Milestone Solutions,Medium,Rep_3,81000,Customer,Miami,FL,33131,25.7617,-80.1918,South,Rep_4
Keystone Tech,Medium,Rep_3,89000,Customer,Nashville,TN,37201,36.1627,-86.7816,South,Rep_4
Foundation Group,Medium,Rep_3,84000,Prospect,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_2
Cornerstone Systems,Medium,Rep_3,96000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Blueprint Analytics,Medium,Rep_3,77000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Framework Solutions,Medium,Rep_3,83000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Structure Tech,Medium,Rep_3,90000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Baseline Systems,Medium,Rep_3,75000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Platform Innovations,Medium,Rep_3,88000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Axis Corporation,Medium,Rep_3,92000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
SmartTech Solutions,Small,Rep_4,25000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_6
QuickServe Systems,Small,Rep_4,18000,Prospect,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
MicroData Inc,Small,Rep_4,22000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_7
CompactTech,Small,Rep_4,28000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
AgileWorks,Small,Rep_4,20000,Customer,Miami,FL,33131,25.7617,-80.1918,South,Rep_4
SwiftSolutions,Small,Rep_4,24000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_4
NimbleTech,Small,Rep_4,19000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest,Rep_7
RapidSystems,Small,Rep_4,26000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
FlexiCorp,Small,Rep_4,21000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
LeanTech Solutions,Small,Rep_4,23000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
EfficientSystems,Small,Rep_4,27000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_7
StreamlineTech,Small,Rep_4,17000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
OptimizeWorks,Small,Rep_4,25000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
SpeedySolutions,Small,Rep_4,20000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_4
SimpleTech Inc,Small,Rep_4,22000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
QuickWin Systems,Small,Rep_4,24000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
FastTrack Solutions,Small,Rep_4,19000,Customer,Miami,FL,33131,25.7617,-80.1918,South,Rep_4
DirectTech,Small,Rep_4,26000,Prospect,Dallas,TX,75201,32.7767,-96.797,South,Rep_4
CompactSolutions,Small,Rep_4,21000,Customer,Nashville,TN,37201,36.1627,-86.7816,South,Rep_4
MiniSystems Corp,Small,Rep_4,23000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
BriefTech,Small,Rep_4,18000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_3
ConciseSolutions,Small,Rep_4,25000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
TerseTech,Small,Rep_4,20000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South,Rep_4
PithySystems,Small,Rep_4,22000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_6
SnappyTech,Small,Rep_4,24000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
CrispSolutions,Small,Rep_4,19000,Customer,Houston,TX,77002,29.7604,-95.3698,South,Rep_4
ShortCut Systems,Small,Rep_4,27000,Prospect,Baltimore,MD,21201,39.2904,-76.6122,Northeast,Rep_6
QuickByte Tech,Small,Rep_4,21000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
InstantSolutions,Small,Rep_4,23000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest,Rep_7
PromptTech,Small,Rep_4,18000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest,Rep_7
ReadySystems,Small,Rep_4,25000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
HandyTech,Small,Rep_4,20000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
EasySolutions,Small,Rep_4,22000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
BreezyTech,Small,Rep_4,24000,Customer,Dallas,TX,75201,32.7767,-96.797,South,Rep_4
LightSystems,Small,Rep_4,19000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
AirySolutions,Small,Rep_4,26000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_3
Elite Enterprises,Large,Rep_5,330000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Premier Systems,Large,Rep_5,285000,Prospect,San Diego,CA,92101,32.7157,-117.1611,West,Rep_3
Superior Tech,Large,Rep_5,315000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_5
Excellence Corp,Large,Rep_5,295000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Prestige Solutions,Large,Rep_5,340000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Quality Innovations,Large,Rep_5,275000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Prime Technologies,Large,Rep_5,325000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Distinguished Systems,Large,Rep_5,290000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_6
Notable Solutions,Large,Rep_5,310000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Eminent Tech,Large,Rep_5,305000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_5
Renowned Corp,Large,Rep_5,335000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
Esteemed Systems,Large,Rep_5,280000,Prospect,Dallas,TX,75201,32.7767,-96.797,South,Rep_1
Respected Solutions,Large,Rep_5,320000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Acclaimed Tech,Large,Rep_5,300000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_5
Celebrated Innovations,Large,Rep_5,315000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Micro Solutions Ltd,Small,Rep_6,16000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Tiny Tech Corp,Small,Rep_6,14000,Prospect,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Mini Innovations,Small,Rep_6,19000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Petite Systems,Small,Rep_6,15000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Little Tech Co,Small,Rep_6,17000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Modest Solutions,Small,Rep_6,13000,Prospect,Seattle,WA,98101,47.6062,-122.3321,West,Rep_5
Humble Tech,Small,Rep_6,18000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Minor Systems,Small,Rep_6,16000,Customer,San Diego,CA,92101,32.7157,-117.1611,West,Rep_3
Lesser Innovations,Small,Rep_6,14000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Junior Tech,Small,Rep_6,20000,Prospect,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Startup Solutions,Small,Rep_6,15000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Emerging Systems,Small,Rep_6,17000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest,Rep_7
Nascent Tech,Small,Rep_6,12000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_3
Budding Innovations,Small,Rep_6,19000,Prospect,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_7
Fledgling Corp,Small,Rep_6,16000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Growing Solutions,Small,Rep_6,14000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_3
Developing Tech,Small,Rep_6,18000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Advancing Systems,Small,Rep_6,15000,Prospect,Phoenix,AZ,85004,33.4484,-112.074,Mountain,Rep_8
Progressing Innovations,Small,Rep_6,17000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Rising Tech,Small,Rep_6,13000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Ascending Solutions,Small,Rep_6,16000,Customer,San Diego,CA,92101,32.7157,-117.1611,West,Rep_5
Climbing Systems,Small,Rep_6,19000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Improving Tech,Small,Rep_6,14000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_5
Enhancing Solutions,Small,Rep_6,15000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
Upgrading Corp,Small,Rep_6,18000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Boosting Systems,Small,Rep_6,16000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain,Rep_8
Elevating Tech,Small,Rep_6,12000,Customer,Dallas,TX,75201,32.7767,-96.797,South,Rep_4
Lifting Solutions,Small,Rep_6,17000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_4
Raising Innovations,Small,Rep_6,14000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Heightening Systems,Small,Rep_6,19000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_6
Amplifying Tech,Small,Rep_6,15000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Magnifying Solutions,Small,Rep_6,16000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Expanding Corp,Small,Rep_6,13000,Prospect,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
Broadening Systems,Small,Rep_6,18000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Widening Tech,Small,Rep_6,14000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Stretching Solutions,Small,Rep_6,17000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_5
Extending Innovations,Small,Rep_6,15000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_6
Lengthening Corp,Small,Rep_6,12000,Prospect,Portland,OR,97201,45.5152,-122.6784,West,Rep_5
Prolonging Systems,Small,Rep_6,19000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_3
Perpetuating Tech,Small,Rep_6,16000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
MidRange Technologies,Medium,Rep_7,105000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Moderate Systems,Medium,Rep_7,98000,Prospect,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
Average Solutions,Medium,Rep_7,110000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_6
Balanced Tech,Medium,Rep_7,95000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Central Innovations,Medium,Rep_7,102000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_5
Middle Corp,Medium,Rep_7,108000,Prospect,Houston,TX,77002,29.7604,-95.3698,South,Rep_1
Intermediate Systems,Medium,Rep_7,99000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Standard Solutions,Medium,Rep_7,106000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain,Rep_8
Regular Tech,Medium,Rep_7,97000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_5
Typical Innovations,Medium,Rep_7,103000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Normal Corp,Medium,Rep_7,109000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_2
Conventional Systems,Medium,Rep_7,96000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Traditional Solutions,Medium,Rep_7,104000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Ordinary Tech,Medium,Rep_7,100000,Prospect,Cleveland,OH,44101,41.4993,-81.6944,Midwest,Rep_7
Common Innovations,Medium,Rep_7,107000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_5
Usual Systems,Medium,Rep_7,98000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Customary Solutions,Medium,Rep_7,105000,Customer,Atlanta,GA,30303,33.749,-84.388,South,Rep_1
Routine Tech,Medium,Rep_7,101000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Established Corp,Medium,Rep_7,110000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Settled Systems,Medium,Rep_7,94000,Customer,Portland,OR,97201,45.5152,-122.6784,West,Rep_3
Fixed Solutions,Medium,Rep_7,102000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_5
Stable Tech,Medium,Rep_7,108000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Steady Innovations,Medium,Rep_7,96000,Prospect,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Constant Corp,Medium,Rep_7,104000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Consistent Systems,Medium,Rep_7,99000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_3
Reliable Solutions,Medium,Rep_7,106000,Customer,San Diego,CA,92101,32.7157,-117.1611,West,Rep_5
Dependable Tech,Medium,Rep_7,97000,Customer,Phoenix,AZ,85004,33.4484,-112.074,Mountain,Rep_8
Trustworthy Innovations,Medium,Rep_7,103000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_1
Faithful Corp,Medium,Rep_7,109000,Customer,Dallas,TX,75201,32.7767,-96.797,South,Rep_4
Loyal Systems,Medium,Rep_7,95000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Budget Tech Solutions,Small,Rep_8,11000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Economy Systems,Small,Rep_8,10000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast,Rep_6
Discount Innovations,Small,Rep_8,13000,Customer,Baltimore,MD,21201,39.2904,-76.6122,Northeast,Rep_6
Thrift Tech Corp,Small,Rep_8,12000,Customer,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_1
Value Solutions Ltd,Small,Rep_8,14000,Customer,San Jose,CA,95113,37.3382,-121.8863,West,Rep_5
Bargain Systems,Small,Rep_8,10000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Affordable Tech,Small,Rep_8,15000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
Economical Solutions,Small,Rep_8,11000,Customer,Houston,TX,77002,29.7604,-95.3698,South,Rep_1
Frugal Innovations,Small,Rep_8,12000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Prudent Systems,Small,Rep_8,13000,Prospect,Seattle,WA,98101,47.6062,-122.3321,West,Rep_3
Sensible Tech,Small,Rep_8,14000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Practical Solutions,Small,Rep_8,10000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_6
Reasonable Corp,Small,Rep_8,15000,Customer,Seattle,WA,98101,47.6062,-122.3321,West,Rep_5
Rational Systems,Small,Rep_8,11000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South,Rep_4
Logical Tech,Small,Rep_8,12000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_3
Sound Solutions,Small,Rep_8,13000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_7
Smart Innovations,Small,Rep_8,14000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Wise Systems,Small,Rep_8,10000,Prospect,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_2
Clever Tech,Small,Rep_8,15000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West,Rep_5
Bright Solutions,Small,Rep_8,11000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain,Rep_8
Sharp Corp,Small,Rep_8,12000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest,Rep_7
Keen Systems,Small,Rep_8,13000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Alert Tech,Small,Rep_8,14000,Prospect,San Jose,CA,95113,37.3382,-121.8863,West,Rep_3
Aware Solutions,Small,Rep_8,10000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast,Rep_2
Conscious Innovations,Small,Rep_8,15000,Customer,Miami,FL,33131,25.7617,-80.1918,South,Rep_1
